"Restaurant ID","Restaurant name","Subzone","City","Overview","Metric","15 Jun, 2026"
"22687388","House Of Dalchini","Varthur Main Road, Whitefield","Bengaluru","Customer experience","Total complaints - Poor packaging","0"
"22687388","House Of Dalchini","Varthur Main Road, Whitefield","Bengaluru","Customer experience","Total complaints - Poor quality","0"
"22687388","House Of Dalchini","Varthur Main Road, Whitefield","Bengaluru","Customer experience","Total complaints - Wrong order","0"
"22687388","House Of Dalchini","Varthur Main Road, Whitefield","Bengaluru","Customer experience","Total complaints - Missing items","0"
"22687388","House Of Dalchini","Varthur Main Road, Whitefield","Bengaluru","Customer experience","Self logs other ors","0"
"22687388","House Of Dalchini","Varthur Main Road, Whitefield","Bengaluru","Customer experience","Lost sales (Rs)","0"
"22687388","House Of Dalchini","Varthur Main Road, Whitefield","Bengaluru","Customer experience","Online %","100"
"22687388","House Of Dalchini","Varthur Main Road, Whitefield","Bengaluru","Customer experience","Offline time (in hours)","0"
"22687388","House Of Dalchini","Varthur Main Road, Whitefield","Bengaluru","Customer experience","KPT (in minutes)","49.42"
"22687388","House Of Dalchini","Varthur Main Road, Whitefield","Bengaluru","Customer experience","FOR accuracy (%)","100"
"22687388","House Of Dalchini","Varthur Main Road, Whitefield","Bengaluru","Customer funnel","Impressions","286"
"22687388","House Of Dalchini","Varthur Main Road, Whitefield","Bengaluru","Customer funnel","Impressions to menu (%)","4.9"
"22687388","House Of Dalchini","Varthur Main Road, Whitefield","Bengaluru","Customer funnel","Menu opens","14"
"22687388","House Of Dalchini","Varthur Main Road, Whitefield","Bengaluru","Customer funnel","Menu to cart (%)","28.6"
"22687388","House Of Dalchini","Varthur Main Road, Whitefield","Bengaluru","Customer funnel","Cart builds","4"
"22687388","House Of Dalchini","Varthur Main Road, Whitefield","Bengaluru","Customer funnel","Cart to orders (%)","25"
"22687388","House Of Dalchini","Varthur Main Road, Whitefield","Bengaluru","Customer funnel","Placed Orders","1"
"22687388","House Of Dalchini","Varthur Main Road, Whitefield","Bengaluru","Customer segmentation","New user orders","1"
"22687388","House Of Dalchini","Varthur Main Road, Whitefield","Bengaluru","Customer segmentation","Repeat user orders","0"
"22687388","House Of Dalchini","Varthur Main Road, Whitefield","Bengaluru","Customer segmentation","Lapsed user orders","0"
"22687388","House Of Dalchini","Varthur Main Road, Whitefield","Bengaluru","Customer segmentation","Breakfast orders","0"
"22687388","House Of Dalchini","Varthur Main Road, Whitefield","Bengaluru","Customer segmentation","Lunch orders","0"
"22687388","House Of Dalchini","Varthur Main Road, Whitefield","Bengaluru","Customer segmentation","Snacks orders","1"
